                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5127,                 7.7498,                 1.4704,                 0.0766,                0.18812,                0.08528,                0.05915,                 1.4769,                 14.149,                 1.1139,                0.00024,                0.00024,                0.00024
                      2,                 1.3688,                 1.8278,                 1.1241,                0.03627,                0.27723,                 0.0134,                0.00795,                 1.5327,                 78.383,                 1.0874,              0.0004901,              0.0004901,              0.0004901
                      3,                  1.304,                 1.2875,                 1.0516,                0.36498,                0.40975,                0.28906,                0.08686,                  1.713,                 5.2153,                 1.2257,              0.0007299,              0.0007299,              0.0007299
                      4,                 1.2374,                 1.0563,                 1.0908,                 0.5727,                0.54455,                0.54049,                0.27373,                 1.4681,                 2.2935,                 1.1319,             0.00095941,             0.00095941,             0.00095941
                      5,                 1.2281,                0.94801,                 1.0393,                  0.442,                0.19802,                0.15992,                0.08817,                 1.5312,                 2.1077,                 1.2221,              0.0011786,              0.0011786,              0.0011786
                      6,                 1.3503,                 1.1186,                 1.1952,                0.07848,                0.39604,                0.04257,                0.01933,                 1.5108,                 21.742,                 1.2169,              0.0013875,              0.0013875,              0.0013875
                      7,                 1.3075,                 1.0006,                 1.1405,                0.56079,                0.16832,                0.17324,                0.11195,                 1.5592,                 3.1605,                 1.3069,              0.0015862,              0.0015862,              0.0015862
                      8,                 1.3107,                 1.0075,                 1.1563,                0.10183,                0.28713,                0.08711,                0.03436,                 1.7855,                 8.3103,                 1.4466,              0.0017228,              0.0017228,              0.0017228
                      9,                  1.287,                 1.0027,                 1.0988,                0.36419,                 0.2439,                0.22648,                0.12594,                 1.6236,                 3.0319,                 1.3907,              0.0016832,              0.0016832,              0.0016832
                     10,                 1.2301,                 0.8673,                  1.055,                0.58504,                0.45545,                0.48609,                 0.2006,                  1.804,                 1.3168,                 1.2956,              0.0016436,              0.0016436,              0.0016436
                     11,                 1.2237,                0.83155,                 1.0896,                0.58219,                0.44554,                0.44822,                0.23459,                 1.5679,                 1.1759,                 1.1997,               0.001604,               0.001604,               0.001604
                     12,                 1.2702,                0.90477,                 1.1725,                0.41163,                0.42949,                0.36148,                0.18527,                 1.6892,                 1.4484,                 1.2267,              0.0015644,              0.0015644,              0.0015644
                     13,                 1.1656,                 0.8151,                  1.091,                0.40888,                0.52736,                0.42305,                0.21699,                 1.5652,                 1.5046,                 1.1005,              0.0015248,              0.0015248,              0.0015248
                     14,                 1.1798,                0.79527,                 1.0508,                0.78462,                0.61318,                0.66045,                0.33978,                  1.357,                 1.0915,                 1.0632,              0.0014852,              0.0014852,              0.0014852
                     15,                 1.1569,                0.82903,                 1.0603,                0.76377,                0.53465,                 0.6005,                0.34507,                 1.3262,                   1.35,                 1.0588,              0.0014456,              0.0014456,              0.0014456
                     16,                  1.135,                0.81562,                 1.0688,                0.68612,                0.39604,                0.47472,                0.27142,                 1.4406,                  1.802,                 1.1066,               0.001406,               0.001406,               0.001406
                     17,                 1.1223,                0.74834,                 1.0523,                0.86907,                0.52475,                0.60726,                0.32106,                 1.4625,                 1.0328,                  1.077,              0.0013664,              0.0013664,              0.0013664
                     18,                 1.1545,                0.79076,                 1.0756,                0.87714,                0.56436,                0.65755,                0.32972,                 1.4488,                0.82708,                 1.0654,              0.0013268,              0.0013268,              0.0013268
                     19,                 1.1403,                0.73311,                 1.0767,                0.82798,                0.53465,                0.60792,                0.32525,                  1.393,                0.84373,                 1.0107,              0.0012872,              0.0012872,              0.0012872
                     20,                 1.1427,                0.77651,                 1.0606,                0.79187,                0.54455,                0.60093,                0.33743,                 1.2946,                0.87215,                0.99383,              0.0012476,              0.0012476,              0.0012476
                     21,                 1.0548,                0.71155,                 1.0508,                0.59359,                0.56399,                0.56966,                 0.3056,                 1.2942,                0.90868,                 1.0028,               0.001208,               0.001208,               0.001208
